AUN,School District,County,"2022-23
Estimated
Total BEF
(columns E+F)
July 2022","2022-23
Estimated
Level Up Supplement
July 2022","2022-23
Base BEF plus Estimated Student-Weighted Distribution
July 2022","2022-23
Base BEF","2022-23
Estimated
Student-Weighted Distribution","2021-22
Final BEF
May 2022","Dollar
Change
in Total BEF",Percent Change
112011103,Bermudian Springs SD,Adams,"$6,991,221 ",$0.00 ,"$6,991,221 ","$5,878,309.62 ","$1,112,911.02 ","$6,456,388.48 ","$534,833.00 ",0.08
112011603,Conewago Valley SD,Adams,"$11,199,357 ",$0.00 ,"$11,199,357 ","$8,066,055.13 ","$3,133,301.64 ","$9,872,772.42 ","$1,326,585.00 ",0.13
112013054,Fairfield Area SD,Adams,"$3,977,829 ",$0.00 ,"$3,977,829 ","$3,342,764.07 ","$635,065.01 ","$3,603,431.48 ","$374,398.00 ",0.10
112013753,Gettysburg Area SD,Adams,"$9,138,557 ",$0.00 ,"$9,138,557 ","$7,257,695.14 ","$1,880,862.30 ","$8,526,327.48 ","$612,230.00 ",0.07
112015203,Littlestown Area SD,Adams,"$7,045,807 ",$0.00 ,"$7,045,807 ","$6,083,869.53 ","$961,937.44 ","$6,684,262.33 ","$361,545.00 ",0.05
112018523,Upper Adams SD,Adams,"$7,559,742 ",$0.00 ,"$7,559,742 ","$6,066,303.93 ","$1,493,438.14 ","$6,968,518.28 ","$591,224.00 ",0.08
103020603,Allegheny Valley SD,Allegheny,"$2,898,002 ",$0.00 ,"$2,898,002 ","$2,317,633.58 ","$580,368.89 ","$2,654,833.99 ","$243,168.00 ",0.09
103020753,Avonworth SD,Allegheny,"$3,161,200 ",$0.00 ,"$3,161,200 ","$2,401,883.94 ","$759,315.75 ","$2,826,774.96 ","$334,425.00 ",0.12
103021102,Baldwin-Whitehall SD,Allegheny,"$11,597,963 ",$0.00 ,"$11,597,963 ","$9,067,892.42 ","$2,530,070.45 ","$10,760,593.26 ","$837,370.00 ",0.08
103021252,Bethel Park SD,Allegheny,"$9,834,763 ",$0.00 ,"$9,834,763 ","$8,559,092.29 ","$1,275,670.54 ","$9,411,249.08 ","$423,514.00 ",0.05
